ID,STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y,Gallons
0,  240,2018-01-01,1.0,210.0,130.0,130.0,190.0,80.0,     ,46.0,0.0,0.0,0.0,-1.0,9939.0,63.0,8.0,79.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,650.411
1,  240,2018-01-01,2.0,230.0,120.0,130.0,190.0,79.0,     ,54.0,0.0,0.0,0.0,-1.0,9943.0,60.0,8.0,84.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,628.59
2,  240,2018-01-01,3.0,260.0,130.0,140.0,200.0,78.0,     ,42.0,0.0,0.0,0.0,-1.0,9958.0,75.0,8.0,78.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,300.885
3,  240,2018-01-01,4.0,250.0,110.0,100.0,180.0,77.0,     ,41.0,0.0,0.0,0.0,-1.0,9973.0,75.0,8.0,77.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,655.526
4,  240,2018-01-01,5.0,250.0,110.0,120.0,160.0,73.0,     ,32.0,0.0,0.0,0.0,0.0,9982.0,75.0,5.0,75.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,410.89
5,  240,2018-01-01,6.0,240.0,90.0,70.0,140.0,67.0,   55,26.0,0.0,0.0,0.0,0.0,9987.0,74.0,0.0,75.0,    1,7.0,0.0,0.0,0.0,0.0,0.0,458.463
6,  240,2018-01-01,7.0,220.0,80.0,80.0,100.0,59.0,     ,30.0,0.0,0.0,0.0,0.0,9990.0,70.0,5.0,81.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,549.114
7,  240,2018-01-01,8.0,210.0,80.0,80.0,110.0,60.0,     ,32.0,0.0,0.0,0.0,0.0,9992.0,70.0,0.0,82.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,539.235
8,  240,2018-01-01,9.0,210.0,90.0,100.0,130.0,66.0,     ,43.0,0.0,7.0,0.0,0.0,9993.0,70.0,8.0,85.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,556.19
9,  240,2018-01-01,10.0,210.0,100.0,100.0,140.0,68.0,     ,44.0,5.0,32.0,0.0,0.0,9992.0,70.0,6.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,627.883
10,  240,2018-01-01,11.0,210.0,90.0,100.0,140.0,72.0,     ,46.0,7.0,50.0,0.0,0.0,9989.0,70.0,8.0,83.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,359.05
11,  240,2018-01-01,12.0,210.0,90.0,80.0,140.0,73.0,   50,43.0,2.0,48.0,0.0,0.0,9979.0,70.0,8.0,81.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,360.275
12,  240,2018-01-01,13.0,200.0,70.0,70.0,110.0,67.0,     ,42.0,0.0,30.0,0.0,0.0,9972.0,70.0,8.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,360.184
13,  240,2018-01-01,14.0,200.0,60.0,60.0,90.0,69.0,     ,43.0,0.0,29.0,0.0,0.0,9963.0,69.0,8.0,83.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,523.488
14,  240,2018-01-01,15.0,190.0,50.0,40.0,80.0,69.0,     ,45.0,2.0,12.0,0.0,0.0,9960.0,68.0,8.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,540.861
15,  240,2018-01-01,16.0,170.0,30.0,30.0,60.0,69.0,     ,47.0,0.0,1.0,0.0,-1.0,9960.0,63.0,8.0,86.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,538.556
16,  240,2018-01-01,17.0,190.0,30.0,30.0,50.0,63.0,     ,55.0,0.0,0.0,6.0,2.0,9964.0,59.0,8.0,94.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,412.161
17,  240,2018-01-01,18.0,230.0,30.0,30.0,50.0,60.0,   57,53.0,0.0,0.0,5.0,3.0,9968.0,61.0,8.0,95.0,   61,7.0,0.0,1.0,0.0,0.0,0.0,580.796
18,  240,2018-01-01,19.0,250.0,30.0,40.0,60.0,61.0,     ,52.0,0.0,0.0,7.0,1.0,9973.0,63.0,8.0,93.0,   57,7.0,0.0,1.0,0.0,0.0,0.0,675.596
19,  240,2018-01-01,20.0,240.0,40.0,40.0,60.0,64.0,     ,51.0,0.0,0.0,0.0,-1.0,9982.0,65.0,8.0,91.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,456.998
20,  240,2018-01-01,21.0,240.0,40.0,40.0,60.0,67.0,     ,50.0,0.0,0.0,0.0,-1.0,9990.0,70.0,8.0,88.0,   22,7.0,0.0,1.0,0.0,0.0,0.0,478.119
21,  240,2018-01-01,22.0,260.0,50.0,60.0,80.0,68.0,     ,53.0,0.0,0.0,0.0,0.0,10001.0,63.0,8.0,90.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,379.465
22,  240,2018-01-01,23.0,250.0,50.0,50.0,80.0,69.0,     ,53.0,0.0,0.0,1.0,1.0,10010.0,64.0,8.0,89.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,378.168
23,  240,2018-01-01,24.0,270.0,50.0,70.0,100.0,56.0,   53,41.0,0.0,0.0,2.0,3.0,10017.0,59.0,8.0,90.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,297.117
24,  240,2018-01-02,1.0,240.0,30.0,30.0,90.0,52.0,     ,38.0,0.0,0.0,1.0,1.0,10023.0,70.0,4.0,90.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,233.658
25,  240,2018-01-02,2.0,260.0,40.0,40.0,50.0,42.0,     ,35.0,0.0,0.0,0.0,0.0,10035.0,65.0,1.0,94.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,536.656
26,  240,2018-01-02,3.0,260.0,40.0,40.0,50.0,55.0,     ,49.0,0.0,0.0,0.0,-1.0,10043.0,65.0,8.0,96.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,797.393
27,  240,2018-01-02,4.0,270.0,40.0,60.0,90.0,62.0,     ,50.0,0.0,0.0,4.0,2.0,10051.0,62.0,8.0,91.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,536.509
28,  240,2018-01-02,5.0,290.0,60.0,80.0,120.0,66.0,     ,49.0,0.0,0.0,4.0,5.0,10063.0,66.0,8.0,88.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,328.009
29,  240,2018-01-02,6.0,280.0,70.0,60.0,110.0,62.0,   25,38.0,0.0,0.0,0.0,0.0,10073.0,70.0,8.0,84.0,    2,7.0,0.0,0.0,0.0,0.0,0.0,489.886
30,  240,2018-01-02,7.0,290.0,60.0,60.0,100.0,63.0,     ,23.0,0.0,0.0,0.0,0.0,10080.0,75.0,8.0,75.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,154.219
31,  240,2018-01-02,8.0,280.0,60.0,50.0,80.0,60.0,     ,39.0,0.0,0.0,2.0,3.0,10094.0,58.0,8.0,86.0,   58,7.0,0.0,1.0,0.0,0.0,0.0,477.267
32,  240,2018-01-02,9.0,250.0,50.0,70.0,100.0,67.0,     ,42.0,0.0,7.0,2.0,1.0,10094.0,68.0,8.0,83.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,503.397
33,  240,2018-01-02,10.0,250.0,70.0,80.0,110.0,69.0,     ,42.0,7.0,28.0,0.0,-1.0,10102.0,70.0,7.0,82.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,483.707
34,  240,2018-01-02,11.0,250.0,70.0,70.0,110.0,69.0,     ,40.0,0.0,32.0,0.0,0.0,10104.0,70.0,7.0,81.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,574.974
35,  240,2018-01-02,12.0,230.0,50.0,50.0,90.0,72.0,   53,48.0,0.0,40.0,0.0,0.0,10096.0,67.0,8.0,84.0,    2,7.0,0.0,0.0,0.0,0.0,0.0,543.491
36,  240,2018-01-02,13.0,230.0,60.0,60.0,90.0,68.0,     ,45.0,0.0,35.0,0.0,0.0,10093.0,65.0,8.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,493.941
37,  240,2018-01-02,14.0,200.0,50.0,60.0,80.0,66.0,     ,42.0,0.0,17.0,0.0,0.0,10082.0,64.0,8.0,85.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,478.874
38,  240,2018-01-02,15.0,190.0,60.0,60.0,90.0,62.0,     ,39.0,0.0,7.0,0.0,0.0,10077.0,65.0,8.0,85.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,289.06
39,  240,2018-01-02,16.0,170.0,60.0,60.0,90.0,59.0,     ,34.0,0.0,1.0,0.0,0.0,10063.0,65.0,8.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,343.106
40,  240,2018-01-02,17.0,180.0,70.0,70.0,110.0,61.0,     ,42.0,0.0,0.0,0.0,-1.0,10052.0,62.0,8.0,87.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,480.015
41,  240,2018-01-02,18.0,170.0,90.0,90.0,140.0,62.0,   54,44.0,0.0,0.0,8.0,1.0,10035.0,63.0,8.0,88.0,   57,7.0,0.0,1.0,0.0,0.0,0.0,516.504
42,  240,2018-01-02,19.0,180.0,90.0,90.0,140.0,59.0,     ,53.0,0.0,0.0,9.0,1.0,10018.0,40.0,8.0,95.0,   52,7.0,0.0,1.0,0.0,0.0,0.0,526.376
43,  240,2018-01-02,20.0,190.0,100.0,90.0,140.0,64.0,     ,58.0,0.0,0.0,7.0,1.0,10003.0,60.0,8.0,95.0,   57,7.0,0.0,1.0,0.0,0.0,0.0,443.109
44,  240,2018-01-02,21.0,200.0,80.0,80.0,120.0,77.0,     ,70.0,0.0,0.0,4.0,3.0,9988.0,59.0,8.0,95.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,548.272
45,  240,2018-01-02,22.0,200.0,80.0,80.0,110.0,84.0,     ,77.0,0.0,0.0,9.0,4.0,9969.0,58.0,8.0,95.0,   61,7.0,0.0,1.0,0.0,0.0,0.0,641.55
46,  240,2018-01-02,23.0,200.0,80.0,90.0,130.0,92.0,     ,85.0,0.0,0.0,10.0,9.0,9948.0,57.0,8.0,95.0,   61,7.0,0.0,1.0,0.0,0.0,0.0,369.808
47,  240,2018-01-02,24.0,190.0,100.0,100.0,140.0,92.0,   57,78.0,0.0,0.0,9.0,13.0,9914.0,58.0,8.0,91.0,   61,7.0,0.0,1.0,0.0,0.0,0.0,435.615
48,  240,2018-01-03,1.0,190.0,100.0,110.0,160.0,92.0,     ,86.0,0.0,0.0,9.0,4.0,9875.0,41.0,8.0,95.0,   62,7.0,0.0,1.0,0.0,0.0,0.0,633.693
49,  240,2018-01-03,2.0,190.0,120.0,120.0,170.0,100.0,     ,93.0,0.0,0.0,10.0,35.0,9841.0,37.0,8.0,95.0,   82,7.0,0.0,1.0,0.0,0.0,0.0,544.922
50,  240,2018-01-03,3.0,280.0,140.0,100.0,260.0,106.0,     ,76.0,0.0,0.0,9.0,39.0,9808.0,62.0,8.0,82.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,653.244
51,  240,2018-01-03,4.0,250.0,130.0,120.0,210.0,99.0,     ,64.0,0.0,0.0,0.0,-1.0,9835.0,65.0,8.0,78.0,   22,7.0,0.0,1.0,0.0,0.0,0.0,397.411
52,  240,2018-01-03,5.0,240.0,110.0,110.0,170.0,92.0,     ,54.0,0.0,0.0,0.0,0.0,9834.0,67.0,8.0,76.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,488.261
53,  240,2018-01-03,6.0,260.0,140.0,130.0,250.0,61.0,   55,38.0,0.0,0.0,5.0,5.0,9839.0,59.0,8.0,85.0,   58,7.0,0.0,1.0,0.0,1.0,0.0,250.473
54,  240,2018-01-03,7.0,250.0,120.0,120.0,180.0,74.0,     ,35.0,0.0,0.0,0.0,-1.0,9841.0,65.0,2.0,76.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,373.687
55,  240,2018-01-03,8.0,250.0,140.0,140.0,200.0,75.0,     ,31.0,0.0,0.0,0.0,0.0,9844.0,67.0,7.0,73.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,515.238
56,  240,2018-01-03,9.0,250.0,160.0,170.0,240.0,77.0,     ,35.0,0.0,5.0,0.0,-1.0,9845.0,61.0,8.0,74.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,567.444
57,  240,2018-01-03,10.0,260.0,170.0,180.0,260.0,79.0,     ,39.0,0.0,5.0,9.0,3.0,9851.0,58.0,8.0,75.0,   58,7.0,0.0,1.0,0.0,0.0,0.0,522.965
58,  240,2018-01-03,11.0,260.0,190.0,180.0,260.0,85.0,     ,39.0,0.0,10.0,0.0,-1.0,9864.0,62.0,8.0,72.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,578.907
59,  240,2018-01-03,12.0,260.0,180.0,180.0,260.0,85.0,   55,41.0,0.0,9.0,0.0,-1.0,9882.0,61.0,8.0,74.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,743.837
60,  240,2018-01-03,13.0,260.0,170.0,170.0,250.0,83.0,     ,42.0,0.0,10.0,0.0,-1.0,9899.0,62.0,8.0,75.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,678.031
61,  240,2018-01-03,14.0,260.0,160.0,160.0,230.0,87.0,     ,47.0,0.0,20.0,0.0,-1.0,9914.0,62.0,8.0,76.0,   22,7.0,0.0,1.0,0.0,0.0,0.0,597.37
62,  240,2018-01-03,15.0,260.0,150.0,140.0,210.0,88.0,     ,45.0,0.0,6.0,0.0,0.0,9927.0,62.0,8.0,74.0,    2,7.0,0.0,0.0,0.0,0.0,0.0,441.665
63,  240,2018-01-03,16.0,260.0,140.0,150.0,220.0,88.0,     ,43.0,0.0,1.0,0.0,0.0,9938.0,65.0,8.0,73.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,610.17
64,  240,2018-01-03,17.0,270.0,140.0,150.0,210.0,87.0,     ,42.0,0.0,0.0,0.0,0.0,9945.0,66.0,8.0,73.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,695.806
65,  240,2018-01-03,18.0,250.0,120.0,120.0,200.0,88.0,   77,43.0,0.0,0.0,0.0,0.0,9949.0,63.0,8.0,73.0,    2,7.0,0.0,0.0,0.0,0.0,0.0,674.78
66,  240,2018-01-03,19.0,260.0,120.0,130.0,190.0,88.0,     ,42.0,0.0,0.0,0.0,0.0,9956.0,63.0,8.0,72.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,401.532
67,  240,2018-01-03,20.0,260.0,120.0,130.0,170.0,86.0,     ,42.0,0.0,0.0,0.0,0.0,9963.0,62.0,8.0,73.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,457.654
68,  240,2018-01-03,21.0,260.0,120.0,120.0,180.0,84.0,     ,41.0,0.0,0.0,0.0,0.0,9962.0,60.0,8.0,73.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,357.112
69,  240,2018-01-03,22.0,250.0,120.0,120.0,160.0,85.0,     ,38.0,0.0,0.0,0.0,0.0,9961.0,61.0,8.0,72.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,510.225
70,  240,2018-01-03,23.0,250.0,110.0,110.0,160.0,85.0,     ,41.0,0.0,0.0,0.0,0.0,9967.0,60.0,8.0,73.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,478.968
71,  240,2018-01-03,24.0,250.0,110.0,110.0,170.0,85.0,   79,42.0,0.0,0.0,0.0,0.0,9967.0,60.0,8.0,74.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,379.213
72,  240,2018-01-04,1.0,250.0,110.0,110.0,170.0,83.0,     ,43.0,0.0,0.0,0.0,0.0,9965.0,59.0,8.0,75.0,    4,7.0,0.0,0.0,0.0,0.0,0.0,335.705
73,  240,2018-01-04,2.0,250.0,100.0,100.0,150.0,82.0,     ,43.0,0.0,0.0,0.0,0.0,9970.0,59.0,8.0,76.0,    4,7.0,0.0,0.0,0.0,0.0,0.0,387.914
74,  240,2018-01-04,3.0,250.0,100.0,100.0,150.0,81.0,     ,47.0,0.0,0.0,0.0,0.0,9967.0,58.0,8.0,78.0,    4,7.0,0.0,0.0,0.0,0.0,0.0,425.696
75,  240,2018-01-04,4.0,260.0,90.0,80.0,150.0,77.0,     ,43.0,0.0,0.0,0.0,0.0,9967.0,59.0,5.0,78.0,    4,7.0,0.0,0.0,0.0,0.0,0.0,477.39
76,  240,2018-01-04,5.0,250.0,80.0,80.0,120.0,76.0,     ,42.0,0.0,0.0,0.0,0.0,9964.0,59.0,8.0,78.0,    4,7.0,0.0,0.0,0.0,0.0,0.0,491.132
77,  240,2018-01-04,6.0,250.0,70.0,70.0,110.0,75.0,   66,47.0,0.0,0.0,0.0,0.0,9961.0,59.0,8.0,82.0,   10,7.0,0.0,0.0,0.0,0.0,0.0,486.009
78,  240,2018-01-04,7.0,240.0,70.0,70.0,110.0,77.0,     ,51.0,0.0,0.0,0.0,0.0,9960.0,58.0,8.0,83.0,   10,7.0,0.0,0.0,0.0,0.0,0.0,512.627
79,  240,2018-01-04,8.0,230.0,60.0,50.0,110.0,73.0,     ,53.0,0.0,0.0,0.0,0.0,9955.0,59.0,8.0,86.0,   10,7.0,0.0,0.0,0.0,0.0,0.0,243.69
80,  240,2018-01-04,9.0,220.0,60.0,60.0,80.0,75.0,     ,55.0,0.0,3.0,0.0,-1.0,9951.0,59.0,8.0,87.0,   57,7.0,0.0,1.0,0.0,0.0,0.0,429.551
81,  240,2018-01-04,10.0,200.0,50.0,50.0,70.0,76.0,     ,58.0,0.0,18.0,0.0,-1.0,9944.0,60.0,8.0,88.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,519.314
82,  240,2018-01-04,11.0,190.0,50.0,50.0,80.0,81.0,     ,62.0,0.0,29.0,0.0,-1.0,9934.0,61.0,8.0,87.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,664.669
83,  240,2018-01-04,12.0,190.0,50.0,50.0,80.0,77.0,   68,58.0,0.0,34.0,0.0,0.0,9920.0,65.0,8.0,87.0,    2,7.0,0.0,0.0,0.0,0.0,0.0,359.272
84,  240,2018-01-04,13.0,170.0,50.0,40.0,80.0,71.0,     ,60.0,0.0,18.0,0.0,-1.0,9901.0,57.0,8.0,92.0,   22,7.0,0.0,1.0,0.0,0.0,0.0,540.843
85,  240,2018-01-04,14.0,160.0,50.0,50.0,80.0,70.0,     ,66.0,0.0,9.0,5.0,1.0,9891.0,47.0,8.0,97.0,   52,7.0,0.0,1.0,0.0,0.0,0.0,372.335
86,  240,2018-01-04,15.0,220.0,60.0,60.0,90.0,89.0,     ,82.0,0.0,6.0,0.0,-1.0,9882.0,64.0,8.0,95.0,   22,7.0,0.0,1.0,0.0,0.0,0.0,591.472
87,  240,2018-01-04,16.0,230.0,80.0,90.0,140.0,108.0,     ,89.0,0.0,2.0,0.0,0.0,9876.0,60.0,8.0,88.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,405.703
88,  240,2018-01-04,17.0,230.0,110.0,110.0,160.0,105.0,     ,81.0,0.0,0.0,1.0,3.0,9875.0,57.0,8.0,85.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,403.586
89,  240,2018-01-04,18.0,240.0,120.0,110.0,200.0,99.0,   69,64.0,0.0,0.0,1.0,1.0,9879.0,58.0,8.0,78.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,437.21
90,  240,2018-01-04,19.0,250.0,130.0,150.0,210.0,89.0,     ,54.0,0.0,0.0,0.0,0.0,9883.0,64.0,2.0,78.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,435.288
91,  240,2018-01-04,20.0,260.0,150.0,150.0,220.0,85.0,     ,44.0,0.0,0.0,0.0,0.0,9898.0,60.0,8.0,75.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,309.29
92,  240,2018-01-04,21.0,250.0,140.0,120.0,220.0,79.0,     ,32.0,0.0,0.0,0.0,0.0,9908.0,72.0,6.0,72.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,497.203
93,  240,2018-01-04,22.0,250.0,120.0,130.0,190.0,74.0,     ,30.0,0.0,0.0,0.0,0.0,9915.0,75.0,0.0,73.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,406.976
94,  240,2018-01-04,23.0,250.0,120.0,120.0,180.0,74.0,     ,28.0,0.0,0.0,0.0,0.0,9918.0,72.0,0.0,72.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,511.602
95,  240,2018-01-04,24.0,240.0,110.0,90.0,180.0,75.0,   64,34.0,0.0,0.0,0.0,0.0,9927.0,69.0,8.0,75.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,422.624
96,  240,2018-01-05,1.0,250.0,100.0,100.0,140.0,75.0,     ,33.0,0.0,0.0,0.0,0.0,9926.0,68.0,8.0,74.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,563.332
97,  240,2018-01-05,2.0,230.0,80.0,80.0,150.0,74.0,     ,40.0,0.0,0.0,0.0,0.0,9930.0,66.0,8.0,78.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,560.064
98,  240,2018-01-05,3.0,230.0,80.0,80.0,120.0,71.0,     ,18.0,0.0,0.0,0.0,0.0,9924.0,80.0,8.0,68.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,641.504
99,  240,2018-01-05,4.0,230.0,70.0,70.0,120.0,59.0,     ,24.0,0.0,0.0,0.0,-1.0,9924.0,75.0,8.0,78.0,   22,7.0,0.0,1.0,0.0,0.0,0.0,568.313
100,  240,2018-01-05,5.0,220.0,60.0,50.0,90.0,48.0,     ,27.0,0.0,0.0,0.0,0.0,9929.0,70.0,8.0,86.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,467.883
101,  240,2018-01-05,6.0,220.0,50.0,50.0,70.0,52.0,   40,33.0,0.0,0.0,0.0,0.0,9935.0,70.0,8.0,87.0,    2,7.0,0.0,0.0,0.0,0.0,0.0,410.955
102,  240,2018-01-05,7.0,230.0,50.0,50.0,70.0,59.0,     ,42.0,0.0,0.0,0.0,0.0,9937.0,70.0,8.0,89.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,436.273
103,  240,2018-01-05,8.0,200.0,40.0,40.0,70.0,51.0,     ,39.0,0.0,0.0,0.0,0.0,9943.0,65.0,8.0,92.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,371.741
104,  240,2018-01-05,9.0,210.0,40.0,50.0,60.0,60.0,     ,50.0,0.0,7.0,0.0,0.0,9953.0,65.0,8.0,93.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,595.367
105,  240,2018-01-05,10.0,200.0,50.0,50.0,70.0,66.0,     ,56.0,0.0,19.0,0.0,0.0,9951.0,65.0,8.0,93.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,568.965
106,  240,2018-01-05,11.0,210.0,50.0,40.0,70.0,70.0,     ,57.0,0.0,19.0,0.0,-1.0,9952.0,60.0,8.0,91.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,629.149
107,  240,2018-01-05,12.0,200.0,50.0,40.0,70.0,75.0,   44,59.0,0.0,25.0,0.0,-1.0,9949.0,70.0,8.0,89.0,   22,7.0,0.0,1.0,0.0,0.0,0.0,467.08
108,  240,2018-01-05,13.0,180.0,40.0,30.0,60.0,74.0,     ,60.0,0.0,15.0,0.0,0.0,9949.0,65.0,8.0,90.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,518.627
109,  240,2018-01-05,14.0,190.0,50.0,50.0,80.0,79.0,     ,66.0,0.0,15.0,0.0,-1.0,9946.0,62.0,8.0,91.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,238.247
110,  240,2018-01-05,15.0,260.0,60.0,60.0,120.0,58.0,     ,48.0,0.0,4.0,7.0,34.0,9954.0,63.0,8.0,93.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,408.928
111,  240,2018-01-05,16.0,180.0,30.0,30.0,70.0,50.0,     ,37.0,0.0,3.0,4.0,1.0,9953.0,65.0,8.0,91.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,399.899
112,  240,2018-01-05,17.0,190.0,30.0,40.0,50.0,40.0,     ,32.0,0.0,0.0,0.0,0.0,9956.0,65.0,1.0,94.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,700.826
