ID,STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y,Gallons
0,  240,2018-01-01,1.0,210.0,130.0,130.0,190.0,80.0,     ,46.0,0.0,0.0,0.0,-1.0,9939.0,63.0,8.0,79.0,   51,7.0,0.0,1.0,0.0,0.0,0.0,650.411
1,  240,2018-01-01,2.0,230.0,120.0,130.0,190.0,79.0,     ,54.0,0.0,0.0,0.0,-1.0,9943.0,60.0,8.0,84.0,   81,7.0,0.0,1.0,0.0,0.0,0.0,628.59
2,  240,2018-01-01,3.0,260.0,130.0,140.0,200.0,78.0,     ,42.0,0.0,0.0,0.0,-1.0,9958.0,75.0,8.0,78.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,300.885
3,  240,2018-01-01,4.0,250.0,110.0,100.0,180.0,77.0,     ,41.0,0.0,0.0,0.0,-1.0,9973.0,75.0,8.0,77.0,   23,7.0,0.0,1.0,0.0,0.0,0.0,655.526
4,  240,2018-01-01,5.0,250.0,110.0,120.0,160.0,73.0,     ,32.0,0.0,0.0,0.0,0.0,9982.0,75.0,5.0,75.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,410.89
5,  240,2018-01-01,6.0,240.0,90.0,70.0,140.0,67.0,   55,26.0,0.0,0.0,0.0,0.0,9987.0,74.0,0.0,75.0,    1,7.0,0.0,0.0,0.0,0.0,0.0,458.463
6,  240,2018-01-01,7.0,220.0,80.0,80.0,100.0,59.0,     ,30.0,0.0,0.0,0.0,0.0,9990.0,70.0,5.0,81.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,549.114
7,  240,2018-01-01,8.0,210.0,80.0,80.0,110.0,60.0,     ,32.0,0.0,0.0,0.0,0.0,9992.0,70.0,0.0,82.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,539.235
8,  240,2018-01-01,9.0,210.0,90.0,100.0,130.0,66.0,     ,43.0,0.0,7.0,0.0,0.0,9993.0,70.0,8.0,85.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,556.19
9,  240,2018-01-01,10.0,210.0,100.0,100.0,140.0,68.0,     ,44.0,5.0,32.0,0.0,0.0,9992.0,70.0,6.0,84.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,627.883
10,  240,2018-01-01,11.0,210.0,90.0,100.0,140.0,72.0,     ,46.0,7.0,50.0,0.0,0.0,9989.0,70.0,8.0,83.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,359.05
